first,last,pos,value,id,W,SV,SO,-ERA,-WHIP,QS(=1),H,BB,IPOuts,HBP,IBB,L,G,GS,CG,SHO,ER,HR,WP,BK,BFP,GF,R,age,years played,weight,height
Matt,Thornton,P,-13.9210088384,thornma01,2,0,23,-2.18,-0.3548387096774194,1,33.0,11.0,124.0,1.0,3.0,1.0,60.0,0.0,0.0,0.0,10.0,2.0,1.0,0.0,171.0,12.0,12.0,39,11,235,78
Tyler,Thornburg,P,-10.5590005671,thornty01,0,0,34,-3.67,-0.4174757281553398,1,31.0,12.0,103.0,3.0,1.0,2.0,24.0,0.0,0.0,0.0,14.0,7.0,3.0,1.0,151.0,9.0,22.0,27,3,190,71
Alex,Torres,P,-10.0753472345,torreal01,0,1,35,-3.15,-0.5048543689320388,1,26.0,26.0,103.0,1.0,1.0,0.0,39.0,0.0,0.0,0.0,12.0,6.0,3.0,0.0,154.0,11.0,16.0,28,4,185,70
Carlos,Torres,P,-6.55437024263,torreca01,5,0,48,-4.68,-0.45664739884393063,1,61.0,18.0,173.0,0.0,6.0,6.0,59.0,0.0,0.0,0.0,30.0,5.0,5.0,0.0,243.0,19.0,32.0,33,6,180,73
Blake,Treinen,P,-1.69457974054,treinbl01,2,0,65,-3.86,-0.4630541871921182,1,62.0,32.0,203.0,2.0,6.0,5.0,60.0,0.0,0.0,0.0,29.0,4.0,4.0,0.0,280.0,17.0,32.0,27,1,230,77
Chin-hui,Tsao,P,-17.6193666622,tsaoch01,1,0,7,-10.29,-0.8571428571428571,1,15.0,3.0,21.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,37.0,0.0,9.0,34,12,170,74
Sam,Tuivailala,P,-14.6387536762,tuivasa01,0,0,20,-3.07,-0.4772727272727273,1,13.0,8.0,44.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,65.0,5.0,5.0,23,1,195,75
Jose,Urena,P,-12.134833361,urenajo01,1,0,28,-5.25,-0.5297297297297298,1,73.0,25.0,185.0,3.0,2.0,5.0,20.0,9.0,0.0,0.0,36.0,5.0,2.0,1.0,274.0,4.0,37.0,24,0,175,75
Donnie,Veal,P,-18.2884856647,vealdo01,0,0,3,-14.54,-0.7692307692307693,1,8.0,2.0,13.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,24.0,2.0,7.0,31,6,235,76
Logan,Verrett,P,-9.825140633,verrelo01,1,1,36,-3.03,-0.29310344827586204,1,23.0,11.0,116.0,2.0,3.0,1.0,14.0,4.0,0.0,0.0,13.0,5.0,0.0,0.0,148.0,3.0,13.0,25,0,190,74
Carlos,Villanueva,P,-4.20290195925,villaca01,4,2,55,-2.95,-0.3879781420765027,1,50.0,21.0,183.0,2.0,2.0,3.0,35.0,0.0,0.0,0.0,20.0,6.0,1.0,0.0,250.0,20.0,21.0,32,9,215,74
Pedro,Villarreal,P,-12.0436656501,villape01,1,0,29,-3.42,-0.46,1,57.0,12.0,150.0,3.0,2.0,3.0,29.0,0.0,0.0,0.0,19.0,6.0,0.0,1.0,214.0,10.0,24.0,28,3,235,73
Nick,Vincent,P,-14.1420776305,vinceni01,0,0,22,-2.35,-0.5072463768115942,1,25.0,10.0,69.0,0.0,1.0,1.0,26.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,100.0,8.0,8.0,29,3,180,72
