first,last,pos,value,id,OBP,SLG,R,HR,RBI,SB,G,AB,H,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,age,years played,weight,height
Mike,Bolsinger,P,-31.0352050671,bolsimi01,0.02631578947368421,0.05263157894736842,1,0,0,0,21,38,1,1,0,0,0,23,0,0,2,0,0,27,1,215,73
Jason,Bourgeois,OF,-13.1383822634,bourgja01,0.2938388625592417,0.33163265306122447,28,3,14,3,68,196,47,5,2,1,14,33,0,1,1,0,2,33,7,200,69
Peter,Bourjos,OF,-10.1462258659,bourjpe01,0.2895927601809955,0.3333333333333333,32,4,13,5,117,195,39,8,3,8,19,59,4,6,4,1,2,28,5,185,73
Justin,Bour,1B,7.46611108173,bourju01,0.32062780269058294,0.4792176039119804,42,23,73,0,129,409,107,20,0,0,34,101,3,2,0,1,19,27,1,250,76
Michael,Bourn,OF,-25.6824818463,bournmi01,0.3032258064516129,0.25735294117647056,10,0,11,4,46,136,30,3,1,2,17,31,0,0,1,2,3,33,9,180,70
Archie,Bradley,P,-31.6289325891,bradlar01,0.14285714285714285,0.14285714285714285,0,0,0,0,8,14,2,0,0,1,0,7,0,0,0,0,0,23,0,230,76
Ryan,Braun,OF,35.4485633589,braunry02,0.3562610229276896,0.4980237154150198,87,25,84,24,140,506,144,27,3,4,54,115,4,4,0,3,20,32,8,205,74
Jake,Brigham,P,-31.6301082871,brighja01,0.0,0.0,0,0,0,0,12,1,0,0,0,0,0,1,0,0,1,0,0,27,0,210,75
Reid,Brignac,3B,-30.4399451042,brignre01,0.25,0.07692307692307693,2,0,0,0,17,13,1,0,0,0,3,5,0,0,1,0,0,29,7,215,75
Socrates,Brito,OF,-28.6540156179,britoso01,0.3235294117647059,0.45454545454545453,5,0,1,1,18,33,10,3,1,0,1,7,0,0,0,0,0,23,0,200,73
Domonic,Brown,OF,-17.2611531094,browndo01,0.28431372549019607,0.3492063492063492,19,5,25,3,63,189,43,6,1,1,14,36,0,1,0,0,2,28,5,225,77
