first,last,pos,value,id,W,SV,SO,-ERA,-WHIP,QS(=1),H,BB,IPOuts,HBP,IBB,L,G,GS,CG,SHO,ER,HR,WP,BK,BFP,GF,R,age,years played,weight,height
Raisel,Iglesias,P,9.95388943621,iglesra01,3,0,104,-4.15,-0.3811188811188811,1,81.0,28.0,286.0,7.0,0.0,7.0,18.0,16.0,0.0,0.0,44.0,11.0,2.0,2.0,395.0,1.0,45.0,25,0,185,74
Edwin,Jackson,P,2.18994683006,jacksed01,2,0,23,-3.19,-0.45161290322580644,1,30.0,12.0,93.0,1.0,1.0,1.0,23.0,0.0,0.0,0.0,11.0,0.0,3.0,1.0,134.0,11.0,14.0,32,12,210,75
Edwin,Jackson,P,2.39140582154,jacksed01,2,1,17,-2.92,-0.3108108108108108,1,14.0,9.0,74.0,0.0,0.0,2.0,24.0,0.0,0.0,0.0,8.0,4.0,2.0,0.0,94.0,7.0,11.0,32,12,210,75
Jay,Jackson,P,0.38730520742,jacksja01,0,0,4,-6.23,-0.6153846153846154,1,7.0,1.0,13.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,20.0,1.0,3.0,28,0,195,73
Juan,Jaime,P,0.0997095554517,jaimeju01,0,0,1,-6.75,-1.0,1,0.0,4.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,1.0,28,1,250,74
Kenley,Jansen,P,35.6449144957,janseke01,2,36,80,-2.41,-0.2611464968152866,1,33.0,8.0,157.0,2.0,0.0,1.0,54.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,200.0,50.0,14.0,28,5,265,77
Casey,Janssen,P,2.57476996842,janssca01,2,0,27,-4.95,-0.38333333333333336,1,38.0,8.0,120.0,1.0,3.0,5.0,48.0,0.0,0.0,0.0,22.0,5.0,1.0,0.0,166.0,12.0,22.0,34,9,205,76
Jeremy,Jeffress,P,6.38354416156,jeffrje01,5,0,67,-2.65,-0.4215686274509804,1,64.0,22.0,204.0,3.0,5.0,0.0,72.0,0.0,0.0,0.0,20.0,5.0,4.0,2.0,285.0,8.0,22.0,28,5,215,72
Cesar,Jimenez,P,0.383845858377,jimence01,0,0,4,-0.0,-0.1,1,1.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,31,9,215,72
Cesar,Jimenez,P,2.01722305463,jimence01,0,0,21,-3.66,-0.4067796610169492,1,16.0,8.0,59.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,81.0,2.0,8.0,31,9,215,72
Jim,Johnson,P,10.1454388438,johnsji04,2,9,33,-2.25,-0.4097222222222222,1,45.0,14.0,144.0,1.0,2.0,3.0,49.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,196.0,13.0,14.0,32,9,240,78
Jim,Johnson,P,2.41434751343,johnsji04,0,1,17,-10.13,-0.6785714285714286,1,32.0,6.0,56.0,4.0,0.0,3.0,23.0,0.0,0.0,0.0,21.0,3.0,1.0,0.0,95.0,2.0,22.0,32,9,240,78
Taylor,Jordan,P,1.05851350322,jordata01,0,0,11,-5.29,-0.5098039215686274,1,20.0,6.0,51.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,77.0,0.0,10.0,26,2,210,77
Taylor,Jungmann,P,10.1847482996,jungmta01,9,0,107,-3.77,-0.4273743016759777,1,106.0,47.0,358.0,8.0,1.0,8.0,21.0,21.0,1.0,0.0,50.0,11.0,8.0,0.0,501.0,0.0,55.0,26,0,220,78
Tommy,Kahnle,P,5.29995114996,kahnlto01,0,2,39,-4.86,-0.59,1,31.0,28.0,100.0,0.0,1.0,1.0,36.0,0.0,0.0,0.0,18.0,3.0,3.0,0.0,155.0,8.0,22.0,26,1,235,73
Shawn,Kelley,P,6.02799451202,kellesh01,2,0,63,-2.45,-0.36363636363636365,1,41.0,15.0,154.0,0.0,4.0,2.0,53.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,205.0,14.0,18.0,31,6,220,74
Casey,Kelly,P,0.676139117554,kellyca01,0,0,7,-7.94,-0.6470588235294118,1,19.0,3.0,34.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,56.0,1.0,13.0,26,3,215,75
